@churn reason,@customers/revenue,@Lost/gain,@service_type,@symbol,@symcol survey,@Tree tooltip,Age,Age (bin),Age (group),Button_count,Button_revenue,Churn Category,Churn Reason,City,Contract,Customer ID,Customer Status,Customer Status (group),Device Protection Plan,dispaly,dispaly 2,dummy,Gender,Internet Service,Internet Type,Married,Monthly Charge (group),Multiple Lines,Offer,Online Backup,Online Security,Paperless Billing,Payment Method,Phone Service,Premium Tech Support,state,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months (bin),Unlimited Data,value,Zip Code,@ total revenue,@1.avg purchase value,@2.APFR,@3.Avg CV,@4.ACL,@5.CLTV,@churn  revenue label,@Churned revenue,@churned_revenure,@joined revenue label,@joined&stayed_revenure,@monthly charge LTV,@new customer,#NAME?,@tenure_LTV,@Total Revenue in 1-year,Avg monthly charge,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Avg Revenue per month,Latitude,Longitude,min,Monthly charg_cal,Monthly Charge,Number of Dependents,Number of Referrals,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,zero
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,44,40,35-44,TRUE,FALSE,,,San Clemente,Two Year,7036-TYDEC,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,None,No,No,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,High Monthly charge & Longer Tenure,92673,0.00715615,101.8623188,12,1222.347826,5.75,7028.5,,,,,7156.15,101.8623188,0,7156.15,12,1222.347826,103.7123188,13,1.85,103.7123188,33.4725,-117.584273,-1,101.8623188,104,0,0,69,7028.5,0,127.65,0,7156.15,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,24,24,<25,TRUE,FALSE,,,Saratoga,Two Year,4159-NAAIX,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,None,Yes,No,No,Bank Withdrawal,Yes,No,California,Yes,Yes,Yes,5 to <6,Yes,High Monthly charge & Longer Tenure,95070,0.00863188,99.25396825,12,1191.047619,5.25,6253,,,,,8631.88,99.25396825,0,8631.88,12,1191.047619,137.0139683,48,37.76,137.0139683,37.257772,-122.051824,-1,99.25396825,97.45,0,0,63,6253,0,2378.88,0,8631.88,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,37,32,35-44,TRUE,FALSE,,,Valley Village,Two Year,7301-ABVAD,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$75 to < $90,Yes,None,Yes,No,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,6 & more,Yes,Low Monthly charge & Longer Tenure,91607,0.00694738,88.20138889,12,1058.416667,6,6350.5,,,,,6947.38,88.20138889,0,6947.38,12,1058.416667,96.49138889,13,8.29,96.49138889,34.165783,-118.399795,-1,88.20138889,86.6,0,0,72,6350.5,0,596.88,0,6947.38,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,Sebastopol,Two Year,8390-FESFV,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,No,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,95472,0.0055683,83.76129032,12,1005.135484,5.166666667,5193.2,,,,,5568.3,83.76129032,0,5568.3,12,1005.135484,89.81129032,22,6.05,89.81129032,38.398815,-122.861923,-1,83.76129032,84.5,0,0,62,5193.2,0,375.1,0,5568.3,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,20,16,<25,TRUE,FALSE,,,San Jose,Two Year,4016-BJKTZ,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,>= $105,Yes,Offer C,Yes,No,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,2 to <3,Yes,High Monthly charge & Shorter Tenure,95136,0.0036173,112.362,12,1348.344,2.083333333,2809.05,,,,,3617.3,112.362,0,3617.3,12,1348.344,144.692,51,32.33,144.692,37.270938,-121.851046,-1,112.362,108.9,0,0,25,2809.05,0,808.25,0,3617.3,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,52,48,45-54,TRUE,FALSE,,,San Diego,Two Year,2863-IMQDR,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,Yes,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,92130,0.00673915,87.02786885,12,1044.334426,5.083333333,5308.7,,,,,6739.15,87.02786885,0,6739.15,12,1044.334426,110.4778689,8,23.45,110.4778689,32.957195,-117.202542,-1,87.02786885,89.65,0,0,61,5308.7,0,1430.45,0,6739.15,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,38,32,35-44,TRUE,FALSE,,,Orange,Month to Month,5527-ACHSO,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,No,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,<1,Yes,Low Monthly charge & Shorter Tenure,92865,0.00135301,75.39090909,11,829.3,0.916666667,760.1916667,,,,,1353.01,75.39090909,1,1353.01,11,829.3,123.0009091,12,47.61,123.0009091,33.828779,-117.848299,-1,75.39090909,70.5,0,0,11,829.3,0,523.71,0,1353.01,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,26,24,25-34,TRUE,FALSE,,,San Leandro,Month to Month,5816-QVHRX,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,3 to <4,Yes,High Monthly charge & Longer Tenure,94579,0.00520862,95.71351351,12,1148.562162,3.083333333,3541.4,,,,,5208.62,95.71351351,0,5208.62,12,1148.562162,140.7735135,82,45.06,140.7735135,37.687264,-122.15728,-1,95.71351351,100.3,0,0,37,3541.4,0,1667.22,0,5208.62,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,Coulterville,Month to Month,7251-XFOIL,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$75 to < $90,Yes,Offer B,No,No,No,Credit Card,Yes,No,California,Yes,Yes,No,5 to <6,Yes,Low Monthly charge & Longer Tenure,95311,0.00638632,90.17377049,12,1082.085246,5.083333333,5500.6,,,,,6386.32,90.17377049,0,6386.32,12,1082.085246,104.6937705,27,14.52,104.6937705,37.722127,-120.110174,-1,90.17377049,89.2,0,0,61,5500.6,0,885.72,0,6386.32,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,61,56,55-64,TRUE,FALSE,,,Merced,Month to Month,6368-NWMCE,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,Yes,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,95340,0.00346152,69.90263158,12,838.8315789,3.166666667,2656.3,,,,,3461.52,69.90263158,0,3461.52,12,838.8315789,91.09263158,24,21.19,91.09263158,37.255637,-120.493537,-1,69.90263158,68.15,0,0,38,2656.3,0,805.22,0,3461.52,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,29,24,25-34,TRUE,FALSE,,,San Diego,One Year,7156-MXBJE,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,3 to <4,No,Low Monthly charge & Longer Tenure,92127,0.00379932,85.16860465,12,1022.023256,3.583333333,3662.25,,,,,3799.32,85.16860465,0,3799.32,12,1022.023256,88.35627907,53,2.49,88.35627907,33.017518,-117.118456,-1,85.16860465,85.1,0,0,43,3662.25,30,107.07,0,3799.32,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,50,48,45-54,TRUE,FALSE,,,Gardena,One Year,6416-JNVRK,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$45 to < $60,No,Offer B,No,No,No,Credit Card,Yes,No,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,90248,0.00278223,58.45326087,12,701.4391304,3.833333333,2688.85,,,,,2782.23,58.45326087,0,2782.23,12,701.4391304,60.48326087,7,2.03,60.48326087,33.876482,-118.284077,-1,58.45326087,55.65,0,0,46,2688.85,0,93.38,0,2782.23,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,19,16,<25,TRUE,FALSE,,,Escondido,One Year,7228-PAQPD,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$45 to < $60,No,Offer D,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,No,1 to <2,Yes,Low Monthly charge & Shorter Tenure,92027,0.00124899,55.20357143,12,662.4428571,1.166666667,772.85,,,,,1248.99,55.20357143,0,1248.99,12,662.4428571,89.21357143,69,34.01,89.21357143,33.141265,-116.967221,-1,55.20357143,59.1,0,0,14,772.85,0,476.14,0,1248.99,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,35,32,35-44,TRUE,FALSE,,,Whittier,One Year,3055-VTCGS,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$45 to < $60,No,Offer B,No,No,No,Credit Card,Yes,No,California,Yes,Yes,No,5 to <6,Yes,Low Monthly charge & Longer Tenure,90605,0.00522844,55.61111111,12,667.3333333,5.25,3503.5,,,,,5228.44,55.61111111,0,5228.44,12,667.3333333,82.99111111,9,27.38,82.99111111,33.960891,-118.032222,-1,55.61111111,58.55,0,0,63,3503.5,0,1724.94,0,5228.44,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,55,48,55-64,TRUE,FALSE,,,Santa Ana,One Year,5756-JYOJT,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$60 to < $75,No,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,No,<1,Yes,Low Monthly charge & Shorter Tenure,92706,0.00075225,63.38636364,11,697.25,0.916666667,639.1458333,,,,,752.25,63.38636364,1,752.25,11,697.25,68.38636364,23,5,68.38636364,33.765893,-117.881533,-1,63.38636364,64.9,0,0,11,697.25,0,55,0,752.25,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,54,48,45-54,TRUE,FALSE,,,San Jose,One Year,5081-NWSUP,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,No,Offer D,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,No,<1,Yes,Low Monthly charge & Shorter Tenure,95122,0.00106005,68.555,10,685.55,0.833333333,571.2916667,,,,,1060.05,68.555,1,1060.05,10,685.55,106.005,5,37.45,106.005,37.32886,-121.834567,-1,68.555,64.9,0,0,10,685.55,0,374.5,0,1060.05,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,70,64,65>,TRUE,FALSE,,,Sacramento,One Year,9391-DXGGG,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$75 to < $90,No,Offer B,Yes,No,No,Credit Card,Yes,No,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,95832,0.00554791,90.69886364,12,1088.386364,3.666666667,3990.75,,,,,5547.91,90.69886364,0,5547.91,12,1088.386364,126.0888636,19,35.39,126.0888636,38.445939,-121.496855,-1,90.69886364,89.15,0,0,44,3990.75,0,1557.16,0,5547.91,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,45,40,45-54,TRUE,FALSE,,,Berkeley,One Year,7049-GKVZY,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,<$15,No,None,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,1 to <2,Yes,Low Monthly charge & Shorter Tenure,94702,0.00160308,81.60882353,12,979.3058824,1.416666667,1387.35,,,,,1603.08,81.60882353,0,1603.08,12,979.3058824,94.29882353,22,12.69,94.29882353,37.866009,-122.286228,-1,81.60882353,-7,0,0,17,1387.35,0,215.73,0,1603.08,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,32,32,25-34,TRUE,FALSE,,,Corona,One Year,2054-PJOCK,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$75 to < $90,Yes,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,92881,0.00581365,80.78416667,12,969.41,5,4847.05,,,,,5813.65,80.78416667,0,5813.65,12,969.41,96.89416667,18,16.11,96.89416667,33.833686,-117.513063,-1,80.78416667,80.55,0,0,60,4847.05,0,966.6,0,5813.65,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,19,16,<25,TRUE,FALSE,,,Santa Maria,One Year,6647-ZEDXT,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,>= $105,Yes,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,2 to <3,Yes,High Monthly charge & Longer Tenure,93455,0.00372185,110.9016667,12,1330.82,2.5,3327.05,,,,,3721.85,110.9016667,0,3721.85,12,1330.82,124.0616667,27,13.16,124.0616667,34.818227,-120.418784,-1,110.9016667,110.45,0,0,30,3327.05,0,394.8,0,3721.85,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,45,40,45-54,TRUE,FALSE,,,West Sacramento,One Year,5985-TBABQ,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,Yes,Offer C,No,Yes,No,Credit Card,Yes,No,California,Yes,Yes,Yes,2 to <3,Yes,Low Monthly charge & Longer Tenure,95605,0.00335335,71.3421875,12,856.10625,2.666666667,2282.95,,,,,3353.35,71.3421875,0,3353.35,12,856.10625,104.7921875,5,33.45,104.7921875,38.592745,-121.540036,-1,71.3421875,74.75,0,0,32,2282.95,0,1070.4,0,3353.35,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,76,72,65>,TRUE,FALSE,,,Bloomington,One Year,5628-RKIFK,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,None,No,Yes,No,Credit Card,Yes,No,California,Yes,Yes,Yes,4-<5,Yes,High Monthly charge & Longer Tenure,92316,0.00628756,103.477551,12,1241.730612,4.083333333,5070.4,,,,,6287.56,103.477551,0,6287.56,12,1241.730612,128.317551,14,24.84,128.317551,34.059722,-117.39104,-1,103.477551,101.55,0,0,49,5070.4,0,1217.16,0,6287.56,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,23,16,<25,TRUE,FALSE,,,Herlong,One Year,3898-BSJYF,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$60 to < $75,Yes,Offer D,No,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,No,<1,Yes,Low Monthly charge & Shorter Tenure,96113,0.0008357,69.33,10,693.3,0.833333333,577.75,,,,,835.7,69.33,1,835.7,10,693.3,83.57,26,14.24,83.57,40.198234,-120.18089,-1,69.33,73.55,1,0,10,693.3,0,142.4,0,835.7,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,26,24,25-34,TRUE,FALSE,,,Salyer,One Year,2890-WFBHU,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,Offer B,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,No,4-<5,Yes,Low Monthly charge & Longer Tenure,95563,0.00490056,81.12033898,12,973.4440678,4.916666667,4786.1,,,,,4900.56,81.12033898,0,4900.56,12,973.4440678,83.06033898,73,1.94,83.06033898,40.89866,-123.539754,-1,81.12033898,79.85,0,0,59,4786.1,0,114.46,0,4900.56,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,61,56,55-64,TRUE,FALSE,,,Compton,Two Year,3410-YOQBQ,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,No,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,2 to <3,No,Low Monthly charge & Longer Tenure,90221,0.00335987,80.55483871,12,966.6580645,2.583333333,2497.2,,,,,3359.87,80.55483871,0,3359.87,12,966.6580645,108.3829032,27,25.57,108.3829032,33.885811,-118.206459,-1,80.55483871,79.2,0,0,31,2497.2,70,792.67,0,3359.87,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,69,64,65>,TRUE,FALSE,,,San Jose,Two Year,2176-LVPNX,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,Offer A,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,No,Yes,5 to <6,No,Low Monthly charge & Longer Tenure,95113,0.00908814,88.64014085,12,1063.68169,5.916666667,6293.45,,,,,9088.14,88.64014085,0,9088.14,12,1063.68169,128.0019718,22,37.39,128.0019718,37.333851,-121.891147,-1,88.64014085,89.85,0,0,71,6293.45,140,2654.69,0,9088.14,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,43,40,35-44,TRUE,FALSE,,,Pioneer,Two Year,1936-UAFEH,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,>= $105,Yes,None,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,No,High Monthly charge & Longer Tenure,95666,0.01062911,107.0492647,12,1284.591176,5.666666667,7279.35,,,,,10629.11,107.0492647,0,10629.11,12,1284.591176,156.3104412,17,48.82,156.3104412,38.546999,-120.271114,-1,107.0492647,110.25,0,0,68,7279.35,30,3319.76,0,10629.11,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,64,64,55-64,TRUE,FALSE,,,Foresthill,Two Year,4701-LKOZD,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$75 to < $90,Yes,None,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,No,Low Monthly charge & Longer Tenure,95631,0.0085443,90.96,12,1091.52,5.833333333,6367.2,,,,,8544.3,90.96,0,8544.3,12,1091.52,122.0614286,7,29.53,122.0614286,39.031876,-120.811141,-1,90.96,89.75,0,0,70,6367.2,110,2067.1,0,8544.3,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,33,32,25-34,TRUE,FALSE,,,Ludlow,Two Year,4615-PIVVU,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$60 to < $75,No,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,92338,0.00422267,65.77976191,12,789.3571429,3.5,2762.75,,,,,4222.67,65.77976191,0,4222.67,12,789.3571429,100.5397619,20,34.76,100.5397619,34.702766,-116.093376,-1,65.77976191,66.5,0,0,42,2762.75,0,1459.92,0,4222.67,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,33,32,25-34,TRUE,FALSE,,,Hilmar,Two Year,5232-NXPAY,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,No,Offer B,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,3 to <4,Yes,Low Monthly charge & Longer Tenure,95324,0.00367339,74.68723404,12,896.2468085,3.916666667,3510.3,,,,,3673.39,74.68723404,0,3673.39,12,896.2468085,78.15723404,12,3.47,78.15723404,37.394536,-120.890747,-1,74.68723404,74.45,0,0,47,3510.3,0,163.09,0,3673.39,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,49,48,45-54,TRUE,FALSE,,,San Jose,Two Year,5278-PNYOX,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,No,None,No,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,4-<5,Yes,High Monthly charge & Longer Tenure,95126,0.00546214,100.3622449,12,1204.346939,4.083333333,4917.75,,,,,5462.14,100.3622449,0,5462.14,12,1204.346939,111.4722449,27,11.11,111.4722449,37.327069,-121.916819,-1,100.3622449,100.65,0,0,49,4917.75,0,544.39,0,5462.14,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,68,64,65>,TRUE,FALSE,,,Los Angeles,Two Year,8659-HDIYE,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,Yes,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,No,No,5 to <6,Yes,Low Monthly charge & Longer Tenure,90067,0.00659511,76.08359375,12,913.003125,5.333333333,4869.35,,,,,6595.11,76.08359375,0,6595.11,12,913.003125,103.0485938,21,27.7,103.0485938,34.057496,-118.413959,-1,76.08359375,74.65,0,0,64,4869.35,0,1772.8,47.04,6595.11,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,76,72,65>,TRUE,FALSE,,,San Luis Obispo,Two Year,3657-COGMW,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,>= $105,Yes,None,Yes,Yes,No,Credit Card,Yes,No,California,Yes,No,Yes,4-<5,Yes,High Monthly charge & Longer Tenure,93405,0.00641182,112.2942308,12,1347.530769,4.333333333,5839.3,,,,,6411.82,112.2942308,0,6411.82,12,1347.530769,123.3042308,18,11.01,123.3042308,35.236549,-120.727344,-1,112.2942308,108.1,0,0,52,5839.3,0,572.52,0,6411.82,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,Los Angeles,Two Year,3654-ARMGP,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,No,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,90064,0.00651563,87.23360656,12,1046.803279,5.083333333,5321.25,,,,,6515.63,87.23360656,0,6515.63,12,1046.803279,106.8136066,22,19.58,106.8136066,34.037251,-118.423573,-1,87.23360656,88.65,0,0,61,5321.25,0,1194.38,0,6515.63,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,San Leandro,Two Year,2192-OZITF,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,Yes,Offer B,No,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,94577,0.00534215,74.42444444,12,893.0933333,3.75,3349.1,,,,,5342.15,74.42444444,0,5342.15,12,893.0933333,118.7144444,15,44.29,118.7144444,37.717196,-122.159338,-1,74.42444444,73.55,0,0,45,3349.1,0,1993.05,0,5342.15,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,80,80,65>,TRUE,FALSE,,,Occidental,Two Year,4884-TVUQF,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,Offer B,No,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,No,4-<5,Yes,High Monthly charge & Longer Tenure,95465,0.00788233,101.3964912,12,1216.757895,4.75,5779.6,,,,,7882.33,101.3964912,0,7882.33,12,1216.757895,138.2864912,17,36.89,138.2864912,38.415003,-122.998726,-1,101.3964912,101.3,0,0,57,5779.6,0,2102.73,0,7882.33,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,57,56,55-64,TRUE,FALSE,,,Walnut Creek,Two Year,3166-PNEOF,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Cable,Not married,$75 to < $90,Yes,Offer B,No,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,94596,0.00545041,84.84098361,12,1018.091803,5.083333333,5175.3,,,,,5450.41,84.84098361,0,5450.41,12,1018.091803,89.35098361,24,4.51,89.35098361,37.900662,-122.052782,-1,84.84098361,86.45,0,0,61,5175.3,0,275.11,0,5450.41,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,72,72,65>,TRUE,FALSE,,,Stockton,Two Year,4627-MIHJH,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,>= $105,Yes,None,No,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,High Monthly charge & Longer Tenure,95210,0.00908215,108.2253623,12,1298.704348,5.75,7467.55,,,,,9082.15,108.2253623,0,9082.15,12,1298.704348,131.6253623,27,23.4,131.6253623,38.033219,-121.297433,-1,108.2253623,110.25,0,0,69,7467.55,0,1614.6,0,9082.15,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,56,56,55-64,TRUE,FALSE,,,Los Angeles,Two Year,3557-HTYWR,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$60 to < $75,Yes,None,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,90043,0.00564279,74.3893617,12,892.6723404,3.916666667,3496.3,,,,,5642.79,74.3893617,0,5642.79,12,892.6723404,120.0593617,3,45.67,120.0593617,33.988543,-118.334081,-1,74.3893617,74.05,0,0,47,3496.3,0,2146.49,0,5642.79,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,44,40,35-44,TRUE,FALSE,,,Tulare,Two Year,2987-BJXIK,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,Yes,No,Credit Card,Yes,No,California,Yes,Yes,Yes,5 to <6,Yes,Low Monthly charge & Longer Tenure,93274,0.00717615,85.58642857,12,1027.037143,5.833333333,5991.05,,,,,7176.15,85.58642857,0,7176.15,12,1027.037143,102.5164286,10,16.93,102.5164286,36.185471,-119.375243,-1,85.58642857,84.7,0,0,70,5991.05,0,1185.1,0,7176.15,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,30,24,25-34,TRUE,FALSE,,,Stockton,Two Year,9553-DLCLU,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$75 to < $90,Yes,None,Yes,Yes,No,Credit Card,Yes,Yes,California,Yes,Yes,Yes,1 to <2,Yes,Low Monthly charge & Shorter Tenure,95204,0.00164314,89.36538462,12,1072.384615,1.083333333,1161.75,,,,,1643.14,89.36538462,0,1643.14,12,1072.384615,126.3953846,52,37.03,126.3953846,37.974498,-121.319568,-1,89.36538462,88.95,0,0,13,1161.75,0,481.39,0,1643.14,0
